ID,Timestamp,Days,Hours,Minutes,RawData
C1,1,0,0,0,###C1#T0#S2_3.94#T1#S3_33.3#T2#S1_187.72_A11#T3#S1_172.23_A11#T4#S1_189.05_A11#T5#S1_195.04_A11#T6#S1_176.94_A11#E#
C1,301,0,0,5,###C1#T0#S2_3.94#T1#S3_33.8#T2#S1_188.40_A11#T3#S1_172.97_A11#T4#S1_189.24_A11#T5#S1_195.07_A11#T6#S1_177.85_A11#E#
C1,601,0,0,10,###C1#T0#S2_3.94#T1#S3_33.8#T2#S1_189.14_A11#T3#S1_173.05_A11#T4#S1_189.66_A11#T5#S1_196.01_A11#T6#S1_178.55_A11#E#
C1,901,0,0,15,###C1#T0#S2_3.94#T1#S3_33.8#T2#S1_188.77_A11#T3#S1_172.96_A11#T4#S1_188.79_A11#T5#S1_195.56_A11#T6#S1_178.99_A11#E#
C1,1201,0,0,20,###C1#T0#S2_3.94#T1#S3_33.8#T2#S1_188.48_A11#T3#S1_173.60_A11#T4#S1_188.88_A11#T5#S1_195.20_A11#T6#S1_179.23_A11#E#
C1,1501,0,0,25,###C1#T0#S2_3.94#T1#S3_33.8#T2#S1_188.57_A11#T3#S1_173.81_A11#T4#S1_189.04_A11#T5#S1_195.58_A11#T6#S1_180.00_A11#E#
C1,1801,0,0,30,###C1#T0#S2_3.94#T1#S3_34.0#T2#S1_188.72_A11#T3#S1_174.06_A11#T4#S1_189.25_A11#T5#S1_195.71_A11#T6#S1_180.71_A11#E#
C1,2101,0,0,35,###C1#T0#S2_3.94#T1#S3_34.3#T2#S1_188.97_A11#T3#S1_174.33_A11#T4#S1_189.25_A11#T5#S1_195.89_A11#T6#S1_181.33_A11#E#
C1,2401,0,0,40,###C1#T0#S2_3.94#T1#S3_34.3#T2#S1_188.58_A11#T3#S1_174.20_A11#T4#S1_188.72_A11#T5#S1_195.17_A11#T6#S1_181.35_A11#E#
C1,2701,0,0,45,###C1#T0#S2_3.94#T1#S3_34.3#T2#S1_188.41_A11#T3#S1_174.15_A11#T4#S1_188.85_A11#T5#S1_195.35_A11#T6#S1_181.74_A11#E#
C1,3001,0,0,50,###C1#T0#S2_3.94#T1#S3_34.3#T2#S1_187.92_A11#T3#S1_173.78_A11#T4#S1_188.36_A11#T5#S1_194.58_A11#T6#S1_181.70_A11#E#
C1,3301,0,0,55,###C1#T0#S2_3.94#T1#S3_34.0#T2#S1_187.80_A11#T3#S1_173.86_A11#T4#S1_187.84_A11#T5#S1_194.52_A11#T6#S1_181.66_A11#E#
C1,3601,0,1,0,###C1#T0#S2_3.94#T1#S3_34.0#T2#S1_187.11_A11#T3#S1_173.65_A11#T4#S1_187.81_A11#T5#S1_193.62_A11#T6#S1_181.84_A11#E#
C1,3901,0,1,5,###C1#T0#S2_3.94#T1#S3_34.3#T2#S1_186.49_A11#T3#S1_172.70_A11#T4#S1_186.33_A11#T5#S1_193.05_A11#T6#S1_181.83_A11#E#
C1,4201,0,1,10,###C1#T0#S2_3.94#T1#S3_34.3#T2#S1_186.24_A11#T3#S1_172.83_A11#T4#S1_186.33_A11#T5#S1_193.05_A11#T6#S1_181.92_A11#E#
C1,4501,0,1,15,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_185.15_A11#T3#S1_172.00_A11#T4#S1_185.57_A11#T5#S1_192.23_A11#T6#S1_181.56_A11#E#
C1,4801,0,1,20,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_184.24_A11#T3#S1_171.63_A11#T4#S1_184.48_A11#T5#S1_191.29_A11#T6#S1_181.38_A11#E#
C1,5101,0,1,25,###C1#T0#S2_3.94#T1#S3_34.8#T2#S1_183.65_A11#T3#S1_170.95_A11#T4#S1_183.75_A11#T5#S1_190.23_A11#T6#S1_180.91_A11#E#
C1,5401,0,1,30,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_182.96_A11#T3#S1_170.29_A11#T4#S1_182.76_A11#T5#S1_189.45_A11#T6#S1_180.96_A11#E#
C1,5701,0,1,35,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_181.49_A11#T3#S1_169.53_A11#T4#S1_181.54_A11#T5#S1_188.16_A11#T6#S1_180.25_A11#E#
C1,6001,0,1,40,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_180.95_A11#T3#S1_168.32_A11#T4#S1_180.32_A11#T5#S1_187.34_A11#T6#S1_179.71_A11#E#
C1,6301,0,1,45,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_179.30_A11#T3#S1_167.49_A11#T4#S1_178.83_A11#T5#S1_185.66_A11#T6#S1_178.60_A11#E#
C1,6601,0,1,50,###C1#T0#S2_3.94#T1#S3_34.8#T2#S1_178.32_A11#T3#S1_166.30_A11#T4#S1_177.99_A11#T5#S1_184.62_A11#T6#S1_178.21_A11#E#
C1,6901,0,1,55,###C1#T0#S2_3.94#T1#S3_34.8#T2#S1_177.06_A11#T3#S1_165.52_A11#T4#S1_176.82_A11#T5#S1_183.37_A11#T6#S1_177.70_A11#E#
C1,7201,0,2,0,###C1#T0#S2_3.94#T1#S3_34.8#T2#S1_175.66_A11#T3#S1_164.26_A11#T4#S1_175.40_A11#T5#S1_182.19_A11#T6#S1_176.79_A11#E#
C1,7501,0,2,5,###C1#T0#S2_3.94#T1#S3_34.8#T2#S1_174.01_A11#T3#S1_163.10_A11#T4#S1_174.14_A11#T5#S1_180.50_A11#T6#S1_175.87_A11#E#
C1,7801,0,2,10,###C1#T0#S2_3.94#T1#S3_34.8#T2#S1_172.98_A11#T3#S1_161.63_A11#T4#S1_172.82_A11#T5#S1_178.79_A11#T6#S1_175.06_A11#E#
C1,8101,0,2,15,###C1#T0#S2_3.94#T1#S3_34.8#T2#S1_171.21_A11#T3#S1_160.30_A11#T4#S1_171.06_A11#T5#S1_177.18_A11#T6#S1_173.66_A11#E#
C1,8401,0,2,20,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_169.57_A11#T3#S1_159.16_A11#T4#S1_169.70_A11#T5#S1_175.73_A11#T6#S1_172.42_A11#E#
C1,8701,0,2,25,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_167.91_A11#T3#S1_157.46_A11#T4#S1_167.55_A11#T5#S1_173.79_A11#T6#S1_171.25_A11#E#
C1,9001,0,2,30,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_166.28_A11#T3#S1_156.10_A11#T4#S1_165.86_A11#T5#S1_172.18_A11#T6#S1_169.95_A11#E#
C1,9301,0,2,35,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_164.54_A11#T3#S1_153.95_A11#T4#S1_163.84_A11#T5#S1_169.75_A11#T6#S1_168.06_A11#E#
C1,9601,0,2,40,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_162.48_A11#T3#S1_152.47_A11#T4#S1_162.08_A11#T5#S1_167.99_A11#T6#S1_167.17_A11#E#
C1,9901,0,2,45,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_160.32_A11#T3#S1_150.78_A11#T4#S1_160.14_A11#T5#S1_165.86_A11#T6#S1_165.28_A11#E#
C1,10201,0,2,50,###C1#T0#S2_3.94#T1#S3_34.8#T2#S1_158.31_A11#T3#S1_148.72_A11#T4#S1_157.94_A11#T5#S1_163.80_A11#T6#S1_163.71_A11#E#
C1,10501,0,2,55,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_156.13_A11#T3#S1_146.40_A11#T4#S1_155.47_A11#T5#S1_161.13_A11#T6#S1_161.74_A11#E#
C1,10801,0,3,0,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_153.83_A11#T3#S1_144.40_A11#T4#S1_153.50_A11#T5#S1_159.04_A11#T6#S1_160.30_A11#E#
C1,11101,0,3,5,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_151.78_A11#T3#S1_142.12_A11#T4#S1_150.89_A11#T5#S1_157.13_A11#T6#S1_158.60_A11#E#
C1,11401,0,3,10,###C1#T0#S2_3.94#T1#S3_34.3#T2#S1_149.28_A11#T3#S1_139.94_A11#T4#S1_148.82_A11#T5#S1_154.41_A11#T6#S1_155.94_A11#E#
C1,11701,0,3,15,###C1#T0#S2_3.94#T1#S3_33.8#T2#S1_147.44_A11#T3#S1_138.16_A11#T4#S1_146.76_A11#T5#S1_152.39_A11#T6#S1_154.57_A11#E#
C1,12001,0,3,20,###C1#T0#S2_3.94#T1#S3_33.5#T2#S1_145.03_A11#T3#S1_136.30_A11#T4#S1_144.04_A11#T5#S1_149.69_A11#T6#S1_152.14_A11#E#
C1,12301,0,3,25,###C1#T0#S2_3.94#T1#S3_33.3#T2#S1_142.65_A11#T3#S1_134.10_A11#T4#S1_142.04_A11#T5#S1_146.92_A11#T6#S1_149.96_A11#E#
C1,12601,0,3,30,###C1#T0#S2_3.94#T1#S3_33.0#T2#S1_140.35_A11#T3#S1_131.58_A11#T4#S1_139.47_A11#T5#S1_144.70_A11#T6#S1_147.99_A11#E#
C1,12901,0,3,35,###C1#T0#S2_3.94#T1#S3_32.8#T2#S1_138.03_A11#T3#S1_129.68_A11#T4#S1_137.29_A11#T5#S1_142.27_A11#T6#S1_146.03_A11#E#
C1,13201,0,3,40,###C1#T0#S2_3.94#T1#S3_32.5#T2#S1_135.29_A11#T3#S1_127.05_A11#T4#S1_134.30_A11#T5#S1_139.34_A11#T6#S1_143.68_A11#E#
C1,13501,0,3,45,###C1#T0#S2_3.94#T1#S3_32.5#T2#S1_133.00_A11#T3#S1_124.72_A11#T4#S1_132.01_A11#T5#S1_137.18_A11#T6#S1_141.32_A11#E#
C1,13801,0,3,50,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_130.23_A11#T3#S1_121.90_A11#T4#S1_129.26_A11#T5#S1_134.14_A11#T6#S1_138.73_A11#E#
C1,14101,0,3,55,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_127.72_A11#T3#S1_119.97_A11#T4#S1_126.56_A11#T5#S1_131.87_A11#T6#S1_136.65_A11#E#
C1,14401,0,4,0,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_125.24_A11#T3#S1_117.48_A11#T4#S1_124.49_A11#T5#S1_129.21_A11#T6#S1_134.10_A11#E#
C1,14701,0,4,5,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_122.30_A11#T3#S1_44.78_A11#T4#S1_121.43_A11#T5#S1_125.78_A11#T6#S1_131.70_A11#E#
